Time	TMin	TMax	Data[1]
4344	4180	4920	0
4196	4180	4920	0
4288	4180	4920	0
4328	4180	4920	0
4212	4180	4920	0
4296	4180	4920	0
4308	4180	4920	0
4200	4180	4920	0
4312	4180	4920	0
4308	4180	4920	0
4216	4180	4920	0
4300	4180	4920	0
4276	4180	4920	0
4216	4180	4920	0
4304	4180	4920	0
4204	4180	4920	0
4280	4180	4920	0
4296	4180	4920	0
4324	4180	4920	0
4288	4180	4920	0
4292	4180	4920	0
4384	4180	4920	0
4308	4180	4920	0
4312	4180	4920	0
4856	4180	4920	0
4304	4180	4920	0
4272	4180	4920	0
4876	4180	4920	0
4216	4180	4920	0
4296	4180	4920	0
4844	4180	4920	0
4304	4180	4920	0
4228	4180	4920	0
4848	4180	4920	0
4240	4180	4920	0
4284	4180	4920	0
4856	4180	4920	0
4212	4180	4920	0
4296	4180	4920	0
4868	4180	4920	0
4196	4180	4920	0
4384	4180	4920	0
4792	4180	4920	0
4224	4180	4920	0
4276	4180	4920	0
4772	4180	4920	0
4304	4180	4920	0
4284	4180	4920	0
4864	4180	4920	0
4220	4180	4920	0
4272	4180	4920	0
4876	4180	4920	0
4208	4180	4920	0
4400	4180	4920	0
4280	4180	4920	0
4380	4180	4920	0
4372	4180	4920	0
4292	4180	4920	0
4400	4180	4920	0
4280	4180	4920	0
4268	4180	4920	0
4380	4180	4920	0
4300	4180	4920	0
4272	4180	4920	0
4416	4180	4920	0
4280	4180	4920	0
4264	4180	4920	0
4392	4180	4920	0
4392	4180	4920	0
4284	4180	4920	0
4316	4180	4920	0
4396	4180	4920	0
4288	4180	4920	0
4300	4180	4920	0
4308	4180	4920	0
4204	4180	4920	0
4300	4180	4920	0
4296	4180	4920	0
4232	4180	4920	0
4284	4180	4920	0
4316	4180	4920	0
4228	4180	4920	0
4356	4180	4920	0
4384	4180	4920	0
4212	4180	4920	0
4256	4180	4920	0
4412	4180	4920	0
4296	4180	4920	0
4312	4180	4920	0
4836	4180	4920	0
4308	4180	4920	0
4384	4180	4920	0
4784	4180	4920	0
4228	4180	4920	0
4264	4180	4920	0
4880	4180	4920	0
4236	4180	4920	0
4280	4180	4920	0
4848	4180	4920	0
4232	4180	4920	0
4372	4180	4920	0
4880	4180	4920	0
4384	4180	4920	0
4344	4180	4920	0
4296	4180	4920	0
4392	4180	4920	0
4284	4180	4920	0
4276	4180	4920	0
4392	4180	4920	0
4376	4180	4920	0
4284	4180	4920	0
4300	4180	4920	0
4376	4180	4920	0
4284	4180	4920	0
4312	4180	4920	0
4312	4180	4920	0
4304	4180	4920	0
4212	4180	4920	0
4300	4180	4920	0
4224	4180	4920	0
4264	4180	4920	0
4328	4180	4920	0
4204	4180	4920	0
4288	4180	4920	0
4332	4180	4920	0
4228	4180	4920	0
4288	4180	4920	0
4304	4180	4920	0
4232	4180	4920	0
4280	4180	4920	0
4304	4180	4920	0
4212	4180	4920	0
4268	4180	4920	0
4324	4180	4920	0
4228	4180	4920	0
4292	4180	4920	0
4328	4180	4920	0
4316	4180	4920	0
4416	4180	4920	0
4860	4180	4920	0
4268	4180	4920	0
4324	4180	4920	0
4880	4180	4920	0
4316	4180	4920	0
4320	4180	4920	0
4280	4180	4920	0
4376	4180	4920	0
4384	4180	4920	0
4268	4180	4920	0
4400	4180	4920	0
4352	4180	4920	0
4204	4180	4920	0
4384	4180	4920	0
4280	4180	4920	0
4280	4180	4920	0
4388	4180	4920	0
4264	4180	4920	0
4292	4180	4920	0
4404	4180	4920	0
4352	4180	4920	0
4216	4180	4920	0
4388	4180	4920	0
4380	4180	4920	0
4288	4180	4920	0
4284	4180	4920	0
4376	4180	4920	0
4260	4180	4920	0
4304	4180	4920	0
4388	4180	4920	0
4204	4180	4920	0
4308	4180	4920	0
4292	4180	4920	0
4236	4180	4920	0
4284	4180	4920	0
4276	4180	4920	0
4240	4180	4920	0
4264	4180	4920	0
4336	4180	4920	0
4212	4180	4920	0
4272	4180	4920	0
4308	4180	4920	0
4224	4180	4920	0
4292	4180	4920	0
4296	4180	4920	0
4236	4180	4920	0
4276	4180	4920	0
4264	4180	4920	0
4220	4180	4920	0
4304	4180	4920	0
4312	4180	4920	0
4188	4180	4920	0
4316	4180	4920	0
4216	4180	4920	0
4256	4180	4920	0
4304	4180	4920	0
4296	4180	4920	0
4204	4180	4920	0
4296	4180	4920	0
4320	4180	4920	0
4264	4180	4920	0
4236	4180	4920	0
4224	4180	4920	0
4248	4180	4920	0
4288	4180	4920	0
4312	4180	4920	0
4208	4180	4920	0
4300	4180	4920	0
4280	4180	4920	0
4220	4180	4920	0
4304	4180	4920	0
4308	4180	4920	0
4216	4180	4920	0
4304	4180	4920	0
4296	4180	4920	0
4208	4180	4920	0
4280	4180	4920	0
4324	4180	4920	0
4212	4180	4920	0
4284	4180	4920	0
4320	4180	4920	0
4208	4180	4920	0
4292	4180	4920	0
4312	4180	4920	0
4232	4180	4920	0
4352	4180	4920	0
4388	4180	4920	0
4360	4180	4920	0
4328	4180	4920	0
4884	4180	4920	0
4228	4180	4920	0
4288	4180	4920	0
4852	4180	4920	0
4220	4180	4920	0
4284	4180	4920	0
4868	4180	4920	0
4216	4180	4920	0
4280	4180	4920	0
4868	4180	4920	0
4224	4180	4920	0
4304	4180	4920	0
4856	4180	4920	0
4212	4180	4920	0
4276	4180	4920	0
4780	4180	4920	0
4316	4180	4920	0
4260	4180	4920	0
4872	4180	4920	0
4220	4180	4920	0
4280	4180	4920	0
4868	4180	4920	0
4232	4180	4920	0
4288	4180	4920	0
4840	4180	4920	0
4308	4180	4920	0
4304	4180	4920	0
4896	4180	4920	0
4384	4180	4920	0
4372	4180	4920	0
4292	4180	4920	0
4384	4180	4920	0
4376	4180	4920	0
4284	4180	4920	0
4320	4180	4920	0
4332	4180	4920	0
4276	4180	4920	0
4324	4180	4920	0
4264	4180	4920	0
4296	4180	4920	0
4276	4180	4920	0
4304	4180	4920	0
4224	4180	4920	0
4284	4180	4920	0
4304	4180	4920	0
4216	4180	4920	0
4360	4180	4920	0
4380	4180	4920	0
4192	4180	4920	0
4260	4180	4920	0
4396	4180	4920	0
4336	4180	4920	0
4340	4180	4920	0
4880	4180	4920	0
4228	4180	4920	0
4288	4180	4920	0
4856	4180	4920	0
4232	4180	4920	0
4288	4180	4920	0
4848	4180	4920	0
4228	4180	4920	0
4272	4180	4920	0
4860	4180	4920	0
4224	4180	4920	0
4288	4180	4920	0
4844	4180	4920	0
4216	4180	4920	0
4396	4180	4920	0
4888	4180	4920	0
4368	4180	4920	0
4372	4180	4920	0
4296	4180	4920	0
4404	4180	4920	0
4296	4180	4920	0
4268	4180	4920	0
4400	4180	4920	0
4280	4180	4920	0
4272	4180	4920	0
4380	4180	4920	0
4388	4180	4920	0
4300	4180	4920	0
4400	4180	4920	0
4316	4180	4920	0
4272	4180	4920	0
4304	4180	4920	0
4316	4180	4920	0
4212	4180	4920	0
4284	4180	4920	0
4324	4180	4920	0
4224	4180	4920	0
4276	4180	4920	0
4312	4180	4920	0
4216	4180	4920	0
4288	4180	4920	0
4296	4180	4920	0
4236	4180	4920	0
4360	4180	4920	0
4360	4180	4920	0
4332	4180	4920	0
4340	4180	4920	0
4924	4180	4924	0
4228	4180	4924	0
